,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
41,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,7.69230769231,5.0,-6.0,91,0.0,12.0,-8.0,91
42,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,11.0701107011,3.0,-2.0,271,0.0,14.0,-8.0,271
43,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,18.3673469388,7.0,-3.0,52,5.76923076923,16.0,-3.0,52
44,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,6.59340659341,5.0,-5.0,91,0.0,11.0,-7.0,91
45,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,14.2857142857,4.0,0.0,350,0.0,12.0,-6.0,350
46,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,11.2676056338,5.0,-16.0,285,2.10526315789,11.0,-9.0,285
47,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,9.50819672131,4.0,-18.0,306,0.0,13.0,-6.0,306
48,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,17.9836512262,5.0,-2.0,369,0.27027027027,11.0,-8.0,370
49,AK,FAI,P,S,493443,Fairbanks International Airport,Fairbanks,United States,64.81510162,-147.8560028,439.0,-9,6.33802816901,4.0,-11.0,426,0.0,13.0,-7.0,518
50,WA,BLI,P,S,447693,Bellingham International Airport,Bellingham,United States,48.7928009033,-122.538002014,170.0,-8,8.33333333333,4.0,-9.0,60,0.0,11.0,-7.5,60
51,AK,JNU,P,S,403538,Juneau International Airport,Juneau,United States,58.3549995422,-134.576004028,21.0,-9,9.1492776886,4.0,-6.0,627,0.41067761807,11.0,-8.0,974
52,AK,BET,P,N,158824,Bethel Airport,Bethel,United States,60.77980042,-161.8379974,126.0,-9,5.02092050209,4.0,-9.0,242,1.23966942149,6.0,-10.0,242
53,AK,KTN,P,N,124747,Ketchikan International Airport,Ketchikan,United States,55.35559845,-131.7140045,89.0,-9,8.76712328767,4.0,-5.0,368,1.09289617486,9.0,-9.0,549
