,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
37,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,19.7571743929,4.0,-6.0,910,0.548847420417,12.0,-4.0,911
38,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,32.3529411765,4.0,2.0,68,0.0,12.0,-1.0,66
39,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,17.0686456401,3.0,-7.0,1090,0.917431192661,9.0,-7.0,1090
40,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,17.4418604651,6.0,-10.0,86,0.0,10.0,0.0,86
41,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,25.2747252747,3.0,-8.0,92,1.08695652174,14.0,0.0,92
42,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,13.768115942,4.0,-8.0,276,0.0,10.0,-7.0,276
43,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,14.3636363636,4.0,-8.0,554,1.26582278481,10.0,-6.0,553
44,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,19.587628866,6.0,-6.0,681,0.146627565982,13.0,-2.0,682
45,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,14.2857142857,5.0,-15.5,84,1.19047619048,12.0,0.0,84
46,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,15.2173913043,3.0,-8.0,184,0.0,10.0,-4.0,184
47,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,16.8067226891,3.0,-5.0,2036,0.737100737101,11.0,-4.0,2035
48,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,15.625,4.0,-6.0,291,0.687285223368,10.0,-6.0,291
49,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,22.6829268293,3.0,-5.0,412,1.45631067961,12.0,-7.0,412
50,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,16.7785234899,4.0,-6.0,298,0.0,13.0,0.0,298
51,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,20.9302325581,4.0,-10.0,44,2.27272727273,12.0,4.0,44
52,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,23.4323432343,3.0,-5.0,304,0.328947368421,11.0,-6.0,304
53,NY,HPN,P,S,757466,Westchester County Airport,White Plains,United States,41.0670013428,-73.7076034546,439.0,-5,24.1276171486,4.0,-3.0,1012,0.790513833992,12.0,-3.0,1012
54,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,32.4675324675,4.0,-2.0,233,0.858369098712,11.0,7.0,233
55,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,17.5182481752,4.0,-9.0,276,1.08695652174,12.0,-7.0,276
56,FL,DAB,P,N,306360,Daytona Beach International Airport,Daytona Beach,United States,29.179899,-81.058098,34.0,-5,18.4782608696,3.0,-7.0,92,0.0,12.0,0.5,92
57,MA,ACK,P,N,155952,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,47.0,-5,12.1212121212,5.0,-13.0,67,1.49253731343,11.0,-7.0,67
58,NY,SWF,P,N,142603,Stewart International Airport,Newburgh,United States,41.5041007996,-74.1047973633,491.0,-5,25.8241758242,5.0,-0.5,184,1.08695652174,11.0,-5.0,184
