,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
45,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,17.9723502304,4.0,-6.0,438,1.59817351598,12.0,-5.0,438
46,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,25.4473161034,5.0,-3.0,509,1.57170923379,12.0,-5.0,509
47,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,20.8901651113,5.0,-6.0,1397,0.286327845383,12.0,-3.0,1397
48,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,13.698630137,5.0,-5.0,805,0.248447204969,12.0,-4.0,805
49,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,15.299877601,5.0,-7.0,823,0.729040097205,13.0,-3.0,823
50,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,17.5824175824,4.0,-12.0,92,0.0,12.0,-3.0,92
51,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,8.0118694362,3.0,-9.0,337,0.0,11.0,-4.0,337
52,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,20.316027088,5.0,-5.0,450,1.55555555556,12.0,-5.0,450
53,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,16.3610719323,6.0,-5.0,711,0.702247191011,12.0,-4.0,712
54,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,14.6005509642,5.0,-6.0,366,1.09289617486,13.0,-5.0,366
55,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,17.7319587629,6.0,-7.0,493,1.21951219512,16.0,-3.0,492
56,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,19.2393736018,5.0,-6.0,454,1.75824175824,13.0,-5.0,455
57,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,16.0949868074,4.0,-5.0,379,0.0,12.0,-4.0,378
58,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,21.7094017094,5.0,-3.0,591,1.18443316413,15.0,-3.0,591
59,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,11.6161616162,7.0,-4.0,199,0.502512562814,16.0,-4.0,199
60,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,14.9911816578,5.0,-6.0,570,0.526315789474,13.0,-4.0,570
61,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,22.6804123711,6.0,-3.0,97,0.0,12.0,2.0,97
62,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,19.9754901961,4.0,-6.0,825,1.21212121212,12.0,-3.5,825
63,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,10.8695652174,4.0,-10.0,92,0.0,13.0,-8.0,92
64,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,17.8674351585,4.0,-6.0,348,0.0,14.0,-4.0,349
65,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,16.5137614679,5.0,-6.5,218,0.917431192661,12.0,-7.0,218
66,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,11.7021276596,4.0,-6.0,188,0.0,12.0,-4.0,188
67,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,17.9611650485,3.0,-9.5,206,0.485436893204,12.0,-6.0,206
68,TX,ELP,P,S,1381392,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,3959.0,-7,21.095890411,4.0,-4.0,368,1.08695652174,13.0,-4.5,368
69,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,22.72,4.0,-5.0,634,1.261829653,14.0,-4.0,634
70,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,12.5475285171,3.0,-8.0,263,0.0,12.0,-5.0,263
71,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,7.60233918129,3.0,-12.0,171,1.16959064327,11.0,-5.0,171
72,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,14.2857142857,5.0,-8.0,367,1.08991825613,12.0,-6.0,367
73,OH,DAY,P,S,1041759,James M Cox Dayton International Airport,Dayton,United States,39.9024009705,-84.2193984985,1009.0,-5,20.1183431953,5.0,-8.0,171,1.16959064327,13.0,-5.0,171
74,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,10.5263157895,4.0,-8.0,171,0.0,11.0,-7.0,171
75,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,22.2222222222,3.0,6.0,9,0.0,14.0,1.0,9
76,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,15.6542056075,5.0,-5.0,437,0.913242009132,13.0,-2.0,438
77,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,15.625,3.0,-6.0,96,1.04166666667,16.0,-5.0,96
78,CA,FAT,P,S,695008,Fresno Yosemite International Airport,Fresno,United States,36.7761993408,-119.718002319,336.0,-8,17.7142857143,5.0,-5.0,177,1.12994350282,13.0,-3.0,177
79,AR,XNA,P,S,629905,Northwest Arkansas Regional Airport,Bentonville,United States,36.281898,-94.306801,1287.0,-6,60.0,5.0,38.5,10,0.0,13.0,32.0,10
80,CO,COS,P,S,593246,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.8058013916,-104.700996399,6187.0,-7,26.724137931,6.0,-3.0,237,1.69491525424,15.0,-3.0,236
81,PA,MDT,P,S,587049,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,310.0,-5,25.0,6.0,1.0,96,0.0,13.0,-4.0,96
82,TX,LBB,P,S,443239,Lubbock Preston Smith International Airport,Lubbock,United States,33.6636009216,-101.822998047,3282.0,-6,21.5053763441,5.0,-8.0,95,2.10526315789,13.0,-6.0,95
83,TX,MFE,P,N,391687,Mc Allen Miller International Airport,Mcallen,United States,26.17580032,-98.23860168,107.0,-6,17.8082191781,4.0,-9.0,298,2.00668896321,11.0,-5.0,299
84,NC,ILM,P,N,388023,Wilmington International Airport,Wilmington,United States,34.2705993652,-77.9026031494,32.0,-5,14.1304347826,4.0,-8.0,93,0.0,12.0,-5.0,93
85,WY,JAC,P,N,313151,Jackson Hole Airport,Jacksn Hole,United States,43.6072998047,-110.737998962,6451.0,-7,27.8481012658,3.0,-3.0,79,0.0,16.5,-7.5,80
86,CO,EGE,P,N,156937,Eagle County Regional Airport,Vail,United States,39.64260101,-106.9179993,6548.0,-7,20.0892857143,5.0,-4.0,234,2.55319148936,12.0,-7.0,235
87,CO,MTJ,P,N,102756,Montrose Regional Airport,Montrose CO,United States,38.5097999573,-107.893997192,5759.0,-7,32.5,5.0,-3.0,40,0.0,13.0,-4.0,40
